SETPOINT,PV 1,PV 2,MV 1,MV 2,Outcome
32,15,32,39,43,2
32,16,32,39,42,2
32,16,32,39,41,2
32,16,32,39,41,2
32,15,32,39,41,2
32,13,32,39,45,2
32,14,32,39,50,2
32,15,32,39,47,2
32,16,32,39,44,2
32,17,32,39,43,2
32,17,32,39,41,2
32,16,32,39,40,2
32,16,32,39,42,2
32,15,32,39,42,2
32,15,32,39,44,2
32,15,32,39,44,2
32,16,32,39,43,2
32,16,32,39,42,2
32,16,32,39,41,2
32,16,32,39,41,2
32,15,32,39,41,2
32,15,32,39,42,2
32,13,32,39,45,2
32,14,32,39,50,2
32,15,32,39,49,2
32,16,32,39,47,2
32,17,32,39,43,2
32,17,32,39,41,2
32,16,32,39,40,2
32,14,32,39,43,2
32,15,32,39,47,2
32,15,32,39,47,2
32,16,32,39,44,2
32,16,32,39,43,2
32,17,32,39,42,2
32,16,32,39,41,2
32,16,32,39,42,2
32,15,32,39,43,2
32,16,32,39,44,2
32,16,32,39,42,2
32,16,32,39,41,2
32,15,32,39,41,2
32,15,32,39,41,2
32,15,32,39,43,2
32,15,32,39,43,2
32,16,32,39,42,2
32,16,32,39,41,2
32,16,32,39,41,2
32,15,32,39,41,2
32,15,32,39,43,2
32,15,32,39,43,2
32,15,32,39,44,2
32,15,32,39,43,2
32,15,32,39,43,2
32,16,32,39,44,2
32,16,32,39,41,2
32,16,32,39,41,2
32,16,32,39,41,2
32,14,32,39,42,2
32,13,32,39,48,2
32,14,32,39,51,2
32,16,32,39,49,2
32,17,32,39,43,2
32,17,32,39,41,2
32,17,32,39,40,2
32,16,32,39,40,2
32,16,32,39,42,2
32,16,32,39,41,2
32,15,32,39,43,2
32,15,32,39,42,2
32,15,32,39,41,2
32,16,32,39,42,2
32,15,32,39,41,2
32,15,32,39,42,2
32,15,32,39,43,2
32,15,32,39,43,2
32,16,32,39,43,2
32,16,32,39,41,2
32,16,32,39,42,2
32,16,32,39,41,2
32,15,32,39,43,2
32,15,32,39,43,2
32,16,32,39,42,2
32,16,32,39,41,2
32,15,32,39,41,2
32,15,32,39,42,2
32,15,32,39,43,2
32,15,32,39,43,2
32,16,32,39,42,2
32,16,32,39,41,2
32,15,32,39,42,2
32,15,32,39,43,2
32,16,32,39,43,2
32,16,32,39,42,2
32,16,32,39,41,2
32,15,32,39,42,2
32,15,32,39,42,2
32,15,32,39,44,2
32,15,32,39,43,2
32,15,32,39,45,2
32,15,32,39,44,2
32,14,32,39,44,2
32,15,32,39,46,2
32,16,32,39,45,2
32,16,32,39,44,2
32,16,32,39,42,2
32,15,32,39,42,2
32,13,32,39,45,2
32,14,32,39,49,2
32,15,32,39,49,2
32,16,32,39,46,2
32,17,32,39,43,2
32,17,32,39,41,2
32,17,32,39,40,2
32,16,32,39,41,2
32,16,32,39,42,2
32,16,32,39,41,2
32,15,32,39,43,2
32,15,32,39,43,2
32,16,32,39,43,2
32,16,32,39,42,2
32,16,32,39,41,2
32,16,32,39,41,2
32,15,32,39,41,2
32,15,32,39,43,2
32,15,32,39,43,2
32,16,32,39,43,2
32,16,32,39,42,2
32,16,32,39,42,2
32,15,32,39,41,2
32,15,32,39,43,2
32,16,32,39,42,2
32,16,32,39,42,2
32,15,32,39,41,2
32,15,32,39,43,2
32,15,32,39,43,2
32,16,32,39,42,2
32,16,32,39,41,2
32,16,32,39,41,2
32,14,32,39,41,2
32,13,32,39,45,2
32,14,32,39,50,2
32,15,32,39,47,2
32,16,32,39,44,2
32,17,32,39,42,2
32,17,32,39,41,2
32,17,32,39,40,2
32,15,32,39,40,2
32,14,32,39,48,2
32,14,32,39,48,2
32,15,32,39,46,2
32,16,32,39,44,2
32,16,32,39,43,2
32,17,32,39,43,2
32,17,32,39,41,2
32,16,32,39,41,2
32,16,32,39,41,2
32,16,32,39,41,2
32,16,32,39,41,2
32,15,32,39,41,2
32,13,32,39,42,2
32,13,32,39,51,2
32,14,32,39,50,2
32,16,32,39,47,2
32,17,32,39,44,2
32,17,32,39,42,2
32,17,32,39,41,2
32,16,32,39,41,2
32,16,32,39,42,2
32,16,32,39,41,2
32,16,32,39,41,2
32,15,32,39,41,2
32,15,32,39,42,2
32,15,32,39,43,2
32,15,32,39,43,2
32,15,32,39,44,2
32,15,32,39,44,2
32,16,32,39,43,2
32,16,32,39,42,2
32,16,32,39,41,2
32,16,32,39,41,2
32,15,32,39,41,2
32,15,32,39,43,2
32,15,32,39,44,2
32,14,32,39,43,2
32,15,32,39,46,2
32,16,32,39,45,2
32,16,32,39,43,2
32,16,32,39,42,2
32,16,32,39,42,2
32,16,32,39,42,2
32,16,32,39,41,2
32,16,32,39,41,2
32,16,32,39,41,2
32,15,32,39,41,2
32,15,32,39,42,2
32,15,32,39,43,2
32,15,32,39,43,2
32,16,32,39,43,2
32,16,32,39,41,2
32,16,32,39,41,2
32,15,32,39,41,2
8,15,32,33,42,3
8,15,32,30,36,3
8,13,32,26,31,3
8,11,32,22,29,3
8,9,32,19,29,3
8,8,32,15,28,3
8,6,31,17,28,3
8,5,31,9,30,3
8,3,31,5,28,3
8,2,31,2,27,3
8,1,30,0,28,3
8,0,28,4,29,3
8,0,27,0,30,3
8,0,25,3,30,3
8,0,23,1,30,3
8,0,22,0,34,3
8,0,20,1,31,3
8,0,19,0,31,3
8,0,17,0,31,3
8,0,16,0,33,3
8,0,15,0,31,3
8,0,13,1,31,3
8,0,12,4,31,3
8,0,11,3,31,3
8,0,10,1,34,3
