SETPOINT,PV 1,PV 2,MV 1,Outcome
8,2,8,2,1
8,2,8,4,1
8,3,8,4,1
8,1,9,2,1
8,1,9,3,1
8,1,8,3,1
8,1,8,3,1
8,2,8,3,1
8,2,8,3,1
8,1,8,3,1
8,1,8,3,1
8,1,7,6,1
8,2,8,2,1
8,2,8,4,1
8,1,8,4,1
8,1,8,4,1
8,1,8,4,1
8,2,7,4,1
8,3,8,4,1
8,2,8,4,1
8,1,8,4,1
8,1,8,4,1
8,1,8,4,1
8,2,8,4,1
8,2,8,4,1
8,1,8,4,1
8,1,8,4,1
8,1,8,4,1
8,2,8,4,1
8,2,8,4,1
8,1,8,4,1
8,1,9,3,1
8,1,8,4,1
8,0,8,4,1
8,0,7,4,1
8,2,7,4,1
8,3,7,5,1
8,3,7,5,1
8,2,8,4,1
8,1,8,4,1
8,1,8,4,1
8,2,8,4,1
8,2,8,4,1
8,2,8,4,1
8,1,9,2,1
8,1,9,3,1
8,2,8,4,1
8,2,8,4,1
8,2,8,4,1
8,1,9,3,1
8,1,9,3,1
8,1,8,5,1
8,1,8,4,1
8,1,8,4,1
8,1,7,5,1
8,2,8,4,1
8,2,8,4,1
8,1,8,4,1
8,0,8,1,1
8,1,8,4,1
8,2,8,4,1
8,2,8,4,1
8,2,8,4,1
8,1,9,0,1
8,1,8,4,1
8,2,8,3,1
8,2,8,3,1
8,2,8,3,1
8,1,9,3,1
8,1,9,2,1
8,1,8,3,1
8,2,8,3,1
8,2,8,3,1
8,1,8,3,1
8,1,9,2,1
8,1,8,5,1
8,0,8,3,1
8,1,7,4,1
8,2,7,4,1
8,2,7,4,1
8,2,8,3,1
8,1,8,3,1
8,1,8,3,1
8,2,8,3,1
8,2,8,3,1
8,2,8,3,1
8,1,8,3,1
8,1,8,3,1
8,1,8,3,1
8,0,7,7,1
8,1,7,4,1
8,1,7,4,1
8,2,7,5,1
8,2,7,5,1
8,2,8,2,1
8,2,8,4,1
8,1,8,4,1
8,1,8,4,1
8,2,8,4,1
8,3,8,4,1
8,2,8,4,1
8,1,9,3,1
8,1,9,3,1
8,1,8,4,1
8,2,8,4,1
8,2,9,1,1
8,1,9,3,1
8,1,9,3,1
8,1,8,4,1
8,0,8,3,1
8,1,7,7,1
8,2,7,4,1
8,3,8,4,1
8,2,8,4,1
8,1,8,4,1
8,1,8,4,1
8,1,8,4,1
8,2,8,4,1
8,2,8,4,1
8,1,9,3,1
8,1,8,5,1
