Time,SETPOINT,PV 1,PV 2,MV 1,MV 2
1,8,2,8,5,36
2,8,1,8,5,39
3,8,1,8,4,41
4,8,1,8,5,44
5,8,2,8,5,42
6,8,3,8,5,40
7,8,2,8,5,37
8,8,1,9,3,39
9,8,1,8,9,42
10,8,1,8,4,43
11,8,2,8,4,42
12,8,3,8,4,40
13,8,2,8,4,37
14,8,1,8,4,41
15,8,1,8,5,43
16,8,2,8,4,42
17,8,2,8,4,40
18,8,2,8,4,40
19,8,1,8,4,41
20,8,1,8,5,46
21,8,2,8,4,44
22,8,3,8,4,41
23,8,3,8,4,37
24,8,2,9,4,36
25,8,1,9,3,39
26,8,1,9,3,41
27,8,1,8,4,42
28,8,2,8,4,40
29,8,2,8,4,39
30,8,1,8,4,38
31,8,1,8,1,39
32,8,1,8,4,42
33,8,0,7,5,47
34,8,2,7,5,45
35,8,3,7,5,41
36,8,2,8,5,38
37,8,1,8,4,42
38,8,1,7,4,43
39,8,2,7,5,44
40,8,3,7,5,41
41,8,3,8,4,35
42,8,2,8,5,37
43,8,1,8,5,40
44,8,2,8,5,43
45,8,3,8,5,41
46,8,3,8,5,38
47,8,2,9,4,34
48,8,1,9,4,39
49,8,1,8,6,41
50,8,1,8,4,42
51,8,1,8,4,44
52,8,1,7,6,47
53,8,3,7,5,44
54,8,4,8,4,39
55,8,3,8,5,36
56,8,2,9,0,32
57,8,1,9,4,40
58,8,0,8,9,42
59,8,0,7,4,46
60,8,1,7,5,50
61,8,3,6,6,44
62,8,4,7,4,34
63,8,3,7,6,37
64,8,2,8,6,39
65,8,0,8,5,40
66,8,1,7,8,45
67,8,3,7,6,45
68,8,4,7,6,40
69,8,4,8,5,34
70,8,3,8,6,36
71,8,2,9,3,38
72,8,1,9,5,40
73,8,2,9,5,43
74,8,3,8,7,45
75,8,4,9,4,37
76,8,2,9,4,35
77,8,1,9,4,37
78,8,1,9,4,41
79,8,0,9,4,44
80,8,1,8,5,46
81,8,2,7,6,50
82,8,4,8,2,42
83,8,4,8,5,36
84,8,3,8,5,36
85,8,1,9,4,38
86,8,1,9,4,42
87,8,1,9,4,43
88,8,2,8,4,46
89,8,3,8,4,41
90,8,3,9,2,37
91,8,1,9,3,38
92,8,1,9,3,40
93,8,0,8,8,41
94,8,1,8,4,44
95,8,2,7,5,48
96,8,4,7,5,41
97,8,3,8,4,34
98,8,2,8,4,37
99,8,1,8,4,40
100,8,1,8,4,42
