Time,SETPOINT,PV 1,PV 2,MV 1,MV 2
1,32,15,32,39,43
2,32,16,32,39,42
3,32,16,32,39,41
4,32,16,32,39,41
5,32,15,32,39,41
6,32,13,32,39,45
7,32,14,32,39,50
8,32,15,32,39,47
9,32,16,32,39,44
10,32,17,32,39,43
11,32,17,32,39,41
12,32,16,32,39,40
13,32,16,32,39,42
14,32,15,32,39,42
15,32,15,32,39,44
16,32,15,32,39,44
17,32,16,32,39,43
18,32,16,32,39,42
19,32,16,32,39,41
20,32,16,32,39,41
21,32,15,32,39,41
22,32,15,32,39,42
23,32,13,32,39,45
24,32,14,32,39,50
25,32,15,32,39,49
26,32,16,32,39,47
27,32,17,32,39,43
28,32,17,32,39,41
29,32,16,32,39,40
30,32,14,32,39,43
31,32,15,32,39,47
32,32,15,32,39,47
33,32,16,32,39,44
34,32,16,32,39,43
35,32,17,32,39,42
36,32,16,32,39,41
37,32,16,32,39,42
38,32,15,32,39,43
39,32,16,32,39,44
40,32,16,32,39,42
41,32,16,32,39,41
42,32,15,32,39,41
43,32,15,32,39,41
44,32,15,32,39,43
45,32,15,32,39,43
46,32,16,32,39,42
47,32,16,32,39,41
48,32,16,32,39,41
49,32,15,32,39,41
50,32,15,32,39,43
51,32,15,32,39,43
52,32,15,32,39,44
53,32,15,32,39,43
54,32,15,32,39,43
55,32,16,32,39,44
56,32,16,32,39,41
57,32,16,32,39,41
58,32,16,32,39,41
59,32,14,32,39,42
60,32,13,32,39,48
61,32,14,32,39,51
62,32,16,32,39,49
63,32,17,32,39,43
64,32,17,32,39,41
65,32,17,32,39,40
66,32,16,32,39,40
67,32,16,32,39,42
68,32,16,32,39,41
69,32,15,32,39,43
70,32,15,32,39,42
71,32,15,32,39,41
72,32,16,32,39,42
73,32,15,32,39,41
74,32,15,32,39,42
75,32,15,32,39,43
76,32,15,32,39,43
77,32,16,32,39,43
78,32,16,32,39,41
79,32,16,32,39,42
80,32,16,32,39,41
81,32,15,32,39,43
82,32,15,32,39,43
83,32,16,32,39,42
84,32,16,32,39,41
85,32,15,32,39,41
86,32,15,32,39,42
87,32,15,32,39,43
88,32,15,32,39,43
89,32,16,32,39,42
90,32,16,32,39,41
91,32,15,32,39,42
92,32,15,32,39,43
93,32,16,32,39,43
94,32,16,32,39,42
95,32,16,32,39,41
96,32,15,32,39,42
97,32,15,32,39,42
98,32,15,32,39,44
99,32,15,32,39,43
100,32,15,32,39,45
101,32,15,32,39,44
102,32,14,32,39,44
103,32,15,32,39,46
104,32,16,32,39,45
105,32,16,32,39,44
106,32,16,32,39,42
107,32,15,32,39,42
108,32,13,32,39,45
109,32,14,32,39,49
110,32,15,32,39,49
111,32,16,32,39,46
112,32,17,32,39,43
113,32,17,32,39,41
114,32,17,32,39,40
115,32,16,32,39,41
116,32,16,32,39,42
117,32,16,32,39,41
118,32,15,32,39,43
119,32,15,32,39,43
120,32,16,32,39,43
121,32,16,32,39,42
122,32,16,32,39,41
123,32,16,32,39,41
124,32,15,32,39,41
125,32,15,32,39,43
126,32,15,32,39,43
127,32,16,32,39,43
128,32,16,32,39,42
129,32,16,32,39,42
130,32,15,32,39,41
131,32,15,32,39,43
132,32,16,32,39,42
133,32,16,32,39,42
134,32,15,32,39,41
135,32,15,32,39,43
136,32,15,32,39,43
137,32,16,32,39,42
138,32,16,32,39,41
139,32,16,32,39,41
140,32,14,32,39,41
141,32,13,32,39,45
142,32,14,32,39,50
143,32,15,32,39,47
144,32,16,32,39,44
145,32,17,32,39,42
146,32,17,32,39,41
147,32,17,32,39,40
148,32,15,32,39,40
149,32,14,32,39,48
150,32,14,32,39,48
151,32,15,32,39,46
152,32,16,32,39,44
153,32,16,32,39,43
154,32,17,32,39,43
155,32,17,32,39,41
156,32,16,32,39,41
157,32,16,32,39,41
158,32,16,32,39,41
159,32,16,32,39,41
160,32,15,32,39,41
161,32,13,32,39,42
162,32,13,32,39,51
163,32,14,32,39,50
164,32,16,32,39,47
165,32,17,32,39,44
166,32,17,32,39,42
167,32,17,32,39,41
168,32,16,32,39,41
169,32,16,32,39,42
170,32,16,32,39,41
171,32,16,32,39,41
172,32,15,32,39,41
173,32,15,32,39,42
174,32,15,32,39,43
175,32,15,32,39,43
176,32,15,32,39,44
177,32,15,32,39,44
178,32,16,32,39,43
179,32,16,32,39,42
180,32,16,32,39,41
181,32,16,32,39,41
182,32,15,32,39,41
183,32,15,32,39,43
184,32,15,32,39,44
185,32,14,32,39,43
186,32,15,32,39,46
187,32,16,32,39,45
188,32,16,32,39,43
189,32,16,32,39,42
190,32,16,32,39,42
191,32,16,32,39,42
192,32,16,32,39,41
193,32,16,32,39,41
194,32,16,32,39,41
195,32,15,32,39,41
196,32,15,32,39,42
197,32,15,32,39,43
198,32,15,32,39,43
199,32,16,32,39,43
200,32,16,32,39,41
201,32,16,32,39,41
202,32,15,32,39,41
203,8,15,32,33,42
204,8,15,32,30,36
205,8,13,32,26,31
206,8,11,32,22,29
207,8,9,32,19,29
208,8,8,32,15,28
209,8,6,31,17,28
210,8,5,31,9,30
211,8,3,31,5,28
212,8,2,31,2,27
213,8,1,30,0,28
214,8,0,28,4,29
215,8,0,27,0,30
216,8,0,25,3,30
217,8,0,23,1,30
218,8,0,22,0,34
219,8,0,20,1,31
220,8,0,19,0,31
221,8,0,17,0,31
222,8,0,16,0,33
223,8,0,15,0,31
224,8,0,13,1,31
225,8,0,12,4,31
226,8,0,11,3,31
227,8,0,10,1,34
228,8,0,9,1,32
229,8,0,8,2,34
230,8,0,7,2,35
231,8,0,6,3,38
232,8,0,5,4,40
233,8,0,4,7,39
234,8,0,4,6,42
235,8,1,3,7,44
236,8,3,3,8,41
237,8,4,4,6,33
238,8,2,4,8,37
239,8,1,5,8,35
240,8,1,5,9,44
241,8,2,5,9,47
242,8,4,5,10,43
243,8,4,6,5,41
244,8,4,6,10,40
245,8,4,7,9,41
246,8,4,7,9,40
247,8,2,8,8,40
248,8,2,8,9,45
249,8,2,8,9,46
250,8,4,9,8,39
251,8,4,9,8,40
252,8,3,9,8,39
253,8,2,10,7,37
254,8,1,10,7,46
255,8,2,10,6,47
256,8,3,10,6,44
257,8,4,10,6,39
258,8,3,10,5,37
259,8,2,10,5,39
260,8,1,11,4,40
261,8,1,11,4,43
262,8,2,10,4,46
263,8,3,10,4,40
264,8,3,11,2,36
265,8,2,11,2,34
266,8,1,11,2,39
267,8,1,10,6,38
268,8,0,10,2,39
269,8,0,9,2,46
270,8,2,8,3,42
271,8,2,8,3,39
272,8,2,9,3,37
273,8,1,9,2,38
274,8,1,8,4,39
275,8,0,8,2,40
276,8,1,7,4,42
277,8,1,6,3,43
278,8,2,6,4,42
279,8,3,7,1,35
280,8,1,7,4,38
281,8,1,7,4,42
282,8,2,7,4,43
283,8,2,7,5,42
284,8,2,7,5,39
285,8,2,7,5,41
286,8,1,8,4,39
287,8,1,8,4,43
288,8,1,7,7,43
289,8,3,7,5,44
290,8,3,8,1,34
291,8,1,8,5,39
292,8,1,8,5,43
293,8,0,8,5,44
294,8,1,7,6,46
295,8,3,7,5,45
296,8,4,7,6,39
297,8,3,8,5,36
298,8,2,8,5,39
299,8,1,8,5,43
300,8,1,8,5,45
301,8,2,7,7,47
302,8,3,8,6,41
303,8,3,8,5,36
304,8,2,8,5,38
305,8,1,9,5,42
306,8,0,8,7,43
307,8,1,8,5,50
308,8,3,8,5,48
309,8,4,8,5,38
310,8,4,8,5,37
311,8,2,9,3,37
312,8,1,9,4,40
313,8,0,9,4,43
314,8,1,8,5,46
