Time,SETPOINT,PV 1,PV 2,MV 1,MV 2
1,8,2,8,4,39
2,8,2,8,4,39
3,8,1,8,4,40
4,8,0,8,4,40
5,8,1,8,4,43
6,8,2,8,3,45
7,8,3,8,4,37
8,8,2,8,4,37
9,8,1,8,4,40
Time,SETPOINT,PV 1,PV 2,MV 1,MV 2
1,8,2,8,4,39
2,8,2,8,4,39
3,8,1,8,4,39
4,8,1,8,4,42
5,8,1,8,4,42
6,8,2,8,4,39
7,8,2,8,4,39
8,8,1,9,4,39
9,8,1,8,3,39
10,8,1,8,4,45
11,8,2,8,4,40
12,8,2,8,4,39
13,8,2,9,1,38
14,8,1,9,3,40
15,8,1,8,5,41
16,8,1,8,3,42
17,8,2,8,3,42
18,8,2,8,3,39
19,8,1,8,3,41
20,8,1,8,3,42
21,8,2,8,3,41
22,8,2,8,3,39
23,8,1,8,3,39
24,8,1,8,3,41
25,8,1,8,3,42
26,8,2,8,3,42
27,8,2,8,3,39
28,8,2,8,3,38
29,8,1,8,3,39
30,8,1,8,3,42
31,8,2,8,3,41
32,8,2,8,3,39
33,8,2,8,3,38
34,8,1,8,3,40
35,8,1,8,3,41
36,8,2,8,3,42
37,8,2,8,3,40
38,8,2,8,3,38
39,8,1,8,3,40
40,8,1,8,3,41
41,8,1,8,3,42
42,8,2,8,3,40
43,8,2,8,3,38
44,8,1,8,3,41
45,8,1,8,3,41
46,8,1,8,3,42
47,8,2,8,3,40
48,8,2,8,3,38
49,8,1,8,3,38
50,8,1,8,3,41
51,8,1,8,3,42
52,8,1,8,3,42
53,8,1,7,5,46
54,8,1,7,4,43
55,8,3,7,4,42
56,8,3,8,2,38
57,8,2,8,4,38
58,8,1,8,4,42
59,8,1,8,4,42
60,8,2,8,4,41
61,8,2,8,4,39
62,8,1,9,2,39
63,8,1,9,3,39
64,8,1,9,3,41
65,8,2,9,2,40
66,8,2,9,2,38
67,8,1,9,2,37
68,8,1,9,2,39
69,8,1,9,2,40
70,8,0,8,5,45
71,8,1,7,3,42
72,8,2,7,4,40
73,8,2,8,3,37
74,8,2,8,3,38
75,8,1,8,3,39
76,8,1,8,3,41
77,8,2,7,7,44
78,8,2,8,0,35
79,8,2,8,3,38
80,8,1,8,3,39
81,8,1,8,3,41
82,8,1,7,3,41
83,8,0,7,4,44
84,8,1,7,4,42
85,8,2,7,4,40
86,8,3,7,4,38
87,8,2,8,4,34
88,8,1,8,4,39
89,8,1,8,4,42
90,8,1,8,4,42
91,8,2,8,2,45
92,8,2,8,4,39
93,8,3,8,4,37
